ticket_id,order_id,customer_id,driver_id,restaurant_id,agent_id,reason_id,priority_id,channel_id,status,refund_amount,created_at,first_response_at,resolved_at,sla_first_due_at,sla_resolve_due_at
761e8d99-05b8-400a-83fc-2760f9bf5738,c421e384-7689-4787-ac2c-42af0ec2c776,212,81,9.0,5,9,4,2,Closed,0.0,2026-06-13 23:08:35,2026-06-13 23:16:00,2026-06-13 23:23:35,2026-06-13 23:09:35,2026-06-13 23:23:35
63940729-dddd-4426-94a0-bbe650cf4f8f,92158cbf-6789-4dc3-84bb-42bbedf09778,88,18,6.0,29,9,4,4,Closed,20.57,2026-06-13 23:42:07,2026-06-13 23:42:42,2026-06-13 23:44:07,2026-06-13 23:43:07,2026-06-13 23:57:07
dd869d14-4b02-4e4d-94fe-3741e8fcb692,44d96875-979f-4c59-8c60-5d625ae2a0e5,210,62,56.0,5,6,2,3,Resolved,71.83,2026-06-13 23:18:17,2026-06-13 23:18:39,2026-06-13 23:31:17,2026-06-13 23:19:17,2026-06-13 23:33:17
dde444a0-bf53-4a14-9dbd-b231d805f966,35d1e65a-8e65-4f1b-81cb-6440caaaefc8,118,49,27.0,25,10,1,3,Closed,0.0,2026-06-13 23:51:35,2026-06-13 23:57:35,2026-06-14 00:11:35,2026-06-13 23:52:35,2026-06-14 00:06:35
d8283a8b-1903-446f-b636-6effa62499ce,5c7e81f2-f72e-4ed6-b274-a640f8e5535a,79,57,38.0,24,4,3,3,Resolved,0.0,2026-06-13 23:24:05,2026-06-13 23:27:38,2026-06-14 00:22:05,2026-06-13 23:25:05,2026-06-13 23:39:05
b587e714-6186-4ed6-8e40-34e115105c4b,c038ce61-a96a-4f28-b07a-53d0c4678119,54,39,21.0,15,7,2,3,Resolved,0.0,2026-06-13 23:39:18,2026-06-13 23:45:29,2026-06-14 00:24:18,2026-06-13 23:40:18,2026-06-13 23:54:18
c5cdfbed-ce7c-42b4-80ad-5baa52ae81c3,5d5b2b07-e1b9-492f-8fb7-bdb70000c121,142,34,9.0,21,7,3,1,Closed,0.0,2026-06-14 00:24:01,2026-06-14 00:30:33,2026-06-14 00:35:01,2026-06-14 00:25:01,2026-06-14 00:39:01
6e7af15c-bba2-4227-b759-73664b78c7b8,e4489649-392f-4bd4-bfc0-cd342b8f114b,231,65,1.0,5,5,2,2,Resolved,0.0,2026-06-13 23:41:43,2026-06-13 23:46:43,2026-06-14 00:31:43,2026-06-13 23:42:43,2026-06-13 23:56:43
bfe8b209-baa5-4a5b-8ed0-993dbce09bd1,e027717c-4929-4745-8218-da5ec12b3b60,368,95,11.0,25,8,3,2,Resolved,22.84,2026-06-13 23:06:03,2026-06-13 23:14:28,2026-06-13 23:28:03,2026-06-13 23:07:03,2026-06-13 23:21:03
9b4c2022-30e3-4468-9d0b-197b2ccb0ada,5f78cde1-35d1-4075-b3f9-f74cdd001123,448,85,3.0,11,9,2,3,Closed,0.0,2026-06-13 22:26:12,2026-06-13 22:26:30,2026-06-13 23:22:12,2026-06-13 22:27:12,2026-06-13 22:41:12
b8fe0ff6-a531-4a03-9aaa-12527c607406,4ce52b4e-7b98-46c0-ae52-6b960fc062bf,303,94,54.0,18,3,3,3,Resolved,0.0,2026-06-13 23:24:30,2026-06-13 23:33:22,2026-06-13 23:34:30,2026-06-13 23:25:30,2026-06-13 23:39:30
77729e60-0899-402a-948a-eeff64459cda,f1757a2e-a7ed-43d1-8b3c-c2ba262f37ad,398,2,14.0,25,2,3,4,Resolved,0.0,2026-06-13 23:52:15,2026-06-13 23:52:50,2026-06-13 23:57:15,2026-06-13 23:53:15,2026-06-14 00:07:15
21c7c379-7a9c-4f56-bacf-0c7be64de4dd,d9b726fd-8a74-4cd6-8919-e2eefb7c2331,276,85,29.0,7,3,3,1,Closed,49.63,2026-06-13 23:29:35,2026-06-13 23:30:15,2026-06-14 00:02:35,2026-06-13 23:30:35,2026-06-13 23:44:35
54bd9284-ce3f-4465-823f-097aad5fb12d,f9417b65-bff7-44e1-aaf7-94262ae5bddf,262,64,46.0,26,9,3,3,Resolved,0.0,2026-06-13 23:38:33,2026-06-13 23:47:23,2026-06-13 23:51:33,2026-06-13 23:39:33,2026-06-13 23:53:33
df25eb02-4b3c-4a88-9576-b950766a8340,19033500-cd21-4852-be2e-6a17d353e6f3,311,75,46.0,13,10,2,4,Closed,0.0,2026-06-13 23:15:15,2026-06-13 23:17:55,2026-06-14 00:06:15,2026-06-13 23:16:15,2026-06-13 23:30:15
cd67bafa-eba8-4af7-81a8-410f85e877e6,1ab7b3e2-4590-4a7a-8a4d-6d943d71ce25,23,21,16.0,5,7,2,4,Closed,0.0,2026-06-13 23:17:58,2026-06-13 23:18:53,2026-06-13 23:21:58,2026-06-13 23:18:58,2026-06-13 23:32:58
37545dae-3f5d-4727-8367-bfa4d9c72287,b4906e8f-9d3e-4313-bde8-0063c7a6d43e,6,94,31.0,28,6,2,2,Resolved,0.0,2026-06-13 23:03:43,2026-06-13 23:04:36,2026-06-13 23:12:43,2026-06-13 23:04:43,2026-06-13 23:18:43
