row_number,column_name,error_type,invalid_value
153,phone,NULL_VALUE,
347,phone,NULL_VALUE,
6,region_id,NULL_VALUE,
13,region_id,NULL_VALUE,
82,region_id,NULL_VALUE,
449,region_id,NULL_VALUE,
79,customer_id,DUPLICATE_KEY,275
204,customer_id,DUPLICATE_KEY,120
329,customer_id,DUPLICATE_KEY,297
333,customer_id,DUPLICATE_KEY,474
346,customer_id,DUPLICATE_KEY,446
361,customer_id,DUPLICATE_KEY,77
412,customer_id,DUPLICATE_KEY,448
441,customer_id,DUPLICATE_KEY,380
461,customer_id,DUPLICATE_KEY,348
463,customer_id,DUPLICATE_KEY,482
510,created_at,INVALID_DTYPE,14:15.0
511,created_at,INVALID_DTYPE,14:14.6
512,created_at,INVALID_DTYPE,14:14.6
50,email,REGEX_MISMATCH,@nodomain.com
106,email,REGEX_MISMATCH,missing@domain
268,email,REGEX_MISMATCH,missing@domain
283,email,REGEX_MISMATCH,missing@domain
456,email,REGEX_MISMATCH,@nodomain.com
191,phone,REGEX_MISMATCH,abc12345
434,phone,REGEX_MISMATCH,02053851498
